,TagID,Tag
0,0,data
1,1,c#
2,2,winforms
3,3,type-conversion
4,4,decimal
5,5,opacity
6,6,html
7,7,css
8,8,css3
9,9,internet-explorer-7
10,10,code-generation
11,11,j#
12,12,visualj#
13,13,.net
14,14,datetime
15,15,datediff
16,16,relative-time-span
17,17,javascript
18,18,browser
19,19,timezone
20,20,timezoneoffset
21,21,linq
22,22,web-services
23,23,.net-3.5
24,24,mysql
25,25,database
26,26,binary-data
27,27,data-storage
28,28,performance
29,29,algorithm
30,30,language-agnostic
31,31,unix
32,32,pi
33,33,php
34,34,triggers
35,35,c++
36,36,c
37,37,sockets
38,38,mainframe
39,39,zos
40,40,actionscript-3
41,41,flex
42,42,bytearray
43,43,sql
44,44,sql-server
45,45,datatable
46,46,rdbms
47,47,vb.net
48,48,timer
49,49,inversion-of-control
50,50,structuremap
51,51,alt.net
52,52,plugins
53,53,architecture
54,54,hook
55,55,form-submit
56,56,html-form
57,57,submit-button
58,58,office-2007
59,59,file-type
60,60,ruby
61,61,rdoc
62,62,eclipse
63,63,svn
64,64,aptana
65,65,subclipse
66,66,air
67,67,flat-file
68,68,linux
69,69,winapi
70,70,visual-c++
71,71,tortoisesvn
72,72,branch
73,73,branching-and-merging
74,74,memory-leaks
75,75,com-interop
76,76,windows
77,77,64bit
78,78,ascii
79,79,hex
80,80,asp.net
81,81,sitemap
82,82,java
83,83,xml
84,84,csv
85,85,data-conversion
86,86,oop
87,87,theory
88,88,sql-server-2005
89,89,bcp
90,90,xsd
91,91,tools
92,92,website
93,93,sysadmin
94,94,webmaster
95,95,compression
96,96,decompression
97,97,apache
98,98,logging
99,99,download
100,100,analytics
101,101,versioning
102,102,embed
103,103,media
104,104,version-control
105,105,printing
106,106,youtube
107,107,reverse-engineering
108,108,virtualhost
109,109,pdf
110,110,colors
111,111,color-space
112,112,coding-style
113,113,styles
114,114,convention
115,115,notation
116,116,internationalization
117,117,globalization
118,118,migration
119,119,search
120,120,filesystems
121,121,ext3
122,122,zfs
123,123,stackoverflow
124,124,tags
125,125,t
126,126,hardware
127,127,hdd
128,128,arrays
129,129,cloud
130,130,tag-cloud
131,131,mailto
132,132,git
133,133,github
134,134,dvcs
135,135,sqlite
136,136,forms
137,137,scripting
138,138,compiler-construction
139,139,gtk
140,140,x11
141,141,berkeley-db
142,142,collaboration
143,143,visual-studio
144,144,belongs-on-uservoice
145,145,sorting
146,146,dictionary
147,147,oracle
148,148,reputation
149,149,security
150,150,class
151,151,nested-class
152,152,types
153,153,python
154,154,string
155,155,cross-platform
156,156,ant
157,157,build-process
158,158,phing
159,159,email
160,160,email-spam
161,161,hacking
162,162,game-development
163,163,generics
164,164,warnings
165,165,casting
166,166,type-safety
167,167,lucene
168,168,vb6
169,169,vb6-migration
170,170,iphone
171,171,objective-c
172,172,code-review
173,173,guidelines
174,174,hash
175,175,exploit
176,176,gravatar
177,177,com
178,178,internet-explorer
179,179,windows-mobile
180,180,pocketpc
181,181,windows-services
182,182,scheduled-tasks
183,183,interview-questions
184,184,code-golf
185,185,rosetta-stone
186,186,fizzbuzz
187,187,ruby-on-rails
188,188,http
189,189,openid
190,190,osx
191,191,fonts
192,192,photoshop
193,193,data-binding
194,194,design
195,195,image
196,196,beta
197,197,crash
198,198,untagged
199,199,continuous-integration
200,200,extreme-programming
201,201,authentication
202,202,article
203,203,books
204,204,polls
205,205,unit-testing
206,206,testing
207,207,medium-trust
208,208,integer
209,209,int
210,210,deployment
211,211,release-management
212,212,exchange-server
213,213,webdav
214,214,mapi
215,215,cx-oracle
216,216,random
217,217,compatibility
218,218,windows-nt
219,219,gui
220,220,api
221,221,application
222,222,primes
223,223,lambda
224,224,proc
225,225,meta-question
226,226,compiz
227,227,metacity
228,228,iis
229,229,active-directory
230,230,encryption
231,231,passwords
232,232,open-source
233,233,operating-system
234,234,iteration
235,235,keyboard
236,236,productivity
237,237,peripherals
238,238,odbc
239,239,db2
240,240,ibm-midrange
241,241,ide
242,242,code-completion
243,243,wing-ide
244,244,embedded-database
245,245,oledb
246,246,legacy
247,247,visual-foxpro
248,248,mapping
249,249,gis
250,250,django
251,251,views
252,252,format
253,253,title-case
254,254,reflection
255,255,simulation
256,256,poker
257,257,montecarlo
258,258,date
259,259,postgresql
260,260,bpgsql
261,261,math
262,262,linear-algebra
263,263,system
264,264,linear-equation
265,265,object-database
266,266,asp-classic
267,267,sftp
268,268,registry
269,269,installation
270,270,left-join
271,271,msbuild
272,272,cruisecontrol.net
273,273,dvorak
274,274,qwerty
275,275,colemak
276,276,xslt
277,277,documentation
278,278,sandcastle
279,279,xml-comments
280,280,variables
281,281,pass-by-reference
282,282,pass-by-value
283,283,debugging
284,284,phpstorm
285,285,xdebug
286,286,unicode
287,287,localization
288,288,text
289,289,windows-server-2003
290,290,frameworks
291,291,loops
292,292,connection
293,293,escaping
294,294,social
295,295,irc
296,296,exception
297,297,exception-handling
298,298,conferences
299,299,twitter
300,300,methods
301,301,monkeypatching
302,302,cookies
303,303,yahoo
304,304,vi
305,305,ip
306,306,lookup
307,307,country
308,308,flash
309,309,adobe
310,310,macromedia
311,311,file-locking
312,312,regex
313,313,indexing
314,314,full-text-search
315,315,floating-point
316,316,opengl
317,317,3d
318,318,directx
319,319,sofaq
320,320,folksonomy
321,321,tagclouds
322,322,multithreading
323,323,memory
324,324,size
325,325,abuse
326,326,artificial-intelligence
327,327,bayesian
328,328,free
329,329,ocr
330,330,try-catch
331,331,database-indexes
332,332,account
333,333,chm
334,334,winhelp
335,335,malloc
336,336,data-structures
337,337,graph
338,338,web-applications
339,339,dns
340,340,subdomain
341,341,safari
342,342,viewstate
343,343,hacks
344,344,hyperlink
345,345,powerpoint
346,346,csla
347,347,training-events
348,348,parsing
349,349,cvs
350,350,database-performance
351,351,etiquette
352,352,meta
353,353,xss
354,354,sql-injection
355,355,collections
356,356,queue
357,357,nant
358,358,io
359,359,filelock
360,360,curses
361,361,audio
362,362,rockbox
363,363,file
364,364,utilities
365,365,gtd
366,366,glossary
367,367,nhibernate
368,368,orm
369,369,subsonic
370,370,parallel-processing
371,371,windows-server-2008
372,372,validation
373,373,ipodtouch
374,374,xampp
375,375,server-configuration
376,376,http-authentication
377,377,permissions
378,378,parameters
379,379,error-handling
380,380,ajax
381,381,url
382,382,rest
383,383,address-bar
384,384,syntax
385,385,binary
386,386,literals
387,387,vim
388,388,emacs
389,389,editor
390,390,favicon
391,391,apple-touch-icon
392,392,wpf
393,393,silverlight
394,394,polymorphism
395,395,dependency-properties
396,396,software-engineering
397,397,wordpress
398,398,blogs
399,399,education
400,400,ssh
401,401,bash
402,402,shell
403,403,command-line
404,404,terminal
405,405,sql-server-2008
406,406,usb
407,407,sata
408,408,xfdl
409,409,projects-and-solutions
410,410,http-status-code-404
411,411,jeff-atwood
412,412,badge
413,413,podcast
414,414,removed
415,415,statistics
416,416,spss
417,417,duplicate
418,418,profile
419,419,shockwave
420,420,lingo
421,421,application-integration
422,422,resources
423,423,protocol-buffers
424,424,html-parsing
425,425,preg-replace
426,426,outsourcing
427,427,ternary-operator
428,428,community
429,429,conways-game-of-life
430,430,development-environment
431,431,scheduling
432,432,organizing
433,433,mouse
434,434,image-processing
435,435,data-dictionary
436,436,anchor
437,437,quotes
438,438,music
439,439,trolling
440,440,import
441,441,maps
442,442,latitude-longitude
443,443,ergonomics
444,444,health
445,445,rsi
446,446,carpal-tunnel
447,447,self-improvement
448,448,asp.net-mvc
449,449,ios
450,450,linq-to-sql
451,451,datacontext
452,452,stored-procedures
453,453,cpu
454,454,throttle
455,455,list
456,456,tuples
457,457,macros
458,458,lisp
459,459,double
460,460,project-hosting
461,461,training
462,462,delphi
463,463,dll
464,464,tdd
465,465,rss
466,466,design-patterns
467,467,model-view-controller
468,468,user-interface
469,469,mvp
470,470,coldfusion
471,471,code-coverage
472,472,for-loop
473,473,checkbox
474,474,icons
475,475,freeware
476,476,optimization
477,477,.net-2.0
478,478,clr
479,479,swing
480,480,jbutton
481,481,web-controls
482,482,master-pages
483,483,bdd
484,484,if-statement
485,485,build-automation
486,486,cairngorm
487,487,interop
488,488,raid5
489,489,dataset
490,490,resharper
491,491,url-rewriting
492,492,url-routing
493,493,rewrite
494,494,backup
495,495,amazon
496,496,amazon-s3
497,497,mozy
498,498,wuala
499,499,contribute
500,500,mvc
501,501,vbscript
502,502,powerbuilder
503,503,ftp
504,504,webserver
505,505,asp.net-ajax
506,506,textwrangler
507,507,traveling-salesman
508,508,cs101
509,509,keyboard-shortcuts
510,510,sqa
511,511,haskell
512,512,functional-programming
513,513,monads
514,514,controls
515,515,tabs
516,516,struct
517,517,binaryfiles
518,518,graphics
519,519,overclocking
520,520,sql-server-2000
521,521,agile
522,522,not-tagged
523,523,binary-search-tree
524,524,concurrency
525,525,progressive-enhancement
526,526,database-design
527,527,diagram
528,528,visual-studio-2008
529,529,obfuscation
530,530,treeview
531,531,contextmenu
532,532,autocomplete
533,533,forum
534,534,video
535,535,payment
536,536,excel
537,537,grid
538,538,clipboard
539,539,text-editor
540,540,powershell
541,541,cmdlets
542,542,server
543,543,split
544,544,web-development
545,545,server-side
546,546,apihooking
547,547,binaryrewriting
548,548,codepatching
549,549,iat
550,550,group-by
551,551,templates
552,552,hosting
553,553,ksh
554,554,dash
555,555,erlang
556,556,setter
557,557,getter
558,558,verification
559,559,shortcuts
560,560,user-controls
561,561,ubuntu
562,562,virtualization
563,563,xen
564,564,date-conversion
565,565,ado.net
566,566,memory-management
567,567,mono
568,568,google-maps
569,569,google-maps-api-3
570,570,picturebox
571,571,formatting
572,572,for-xml
573,573,curl
574,574,eclipse-plugin
575,575,paging
576,576,printf
577,577,format-specifiers
578,578,long-long
579,579,screen-scraping
580,580,web-scraping
581,581,html-content-extraction
582,582,marshalling
583,583,projects
584,584,popup
585,585,p2p
586,586,jxta
587,587,tkinter
588,588,rgb
589,589,hsl
590,590,ms-office
591,591,modi
592,592,indexing-service
593,593,cracking
594,594,hijacked
595,595,tree
596,596,computer-science
597,597,nslookup
598,598,dynamic-data
599,599,recursion
600,600,usability
601,601,captcha
602,602,perl
603,603,each
604,604,boot
605,605,office-2003
606,606,maintainability
607,607,procedural
608,608,interpreted
609,609,sharepoint
610,610,crossplatform
611,611,reference
612,612,scalar
613,613,vmware
614,614,cron
615,615,settings
616,616,crontab
617,617,teamcity
618,618,mbunit
619,619,diff
620,620,.htaccess
621,621,mod-rewrite
622,622,path
623,623,mappath
624,624,questions
625,625,support
626,626,patterns
627,627,repository-pattern
628,628,fogbugz
629,629,caching
630,630,midi
631,631,signal-processing
632,632,conventions
633,633,complexity-theory
634,634,big-o
635,635,service
636,636,reduce
637,637,language-design
638,638,foreach
639,639,ienumerable
640,640,ienumerator
641,641,pornography
642,642,vpn
643,643,openvpn
644,644,environment
645,645,mac-address
646,646,rhostmush
647,647,softcode
648,648,mush
649,649,sql-update
650,650,iframe
651,651,ssl
652,652,https
653,653,xhtml
654,654,markup
655,655,http-referer
656,656,devforce
657,657,directory
658,658,file-management
659,659,rake
660,660,command-line-interface
661,661,installer
662,662,clickonce
663,663,career-development
664,664,sap
665,665,integration
666,666,upload
667,667,project-management
668,668,devexpress
669,669,issue-tracking
670,670,comparison
671,671,diplomacy
672,672,ram
673,673,best-answer
674,674,onclick
675,675,privileges
676,676,stsadm
677,677,event-viewer
678,678,markdown
679,679,configuration
680,680,storage
681,681,blob
682,682,propertygrid
683,683,windows-installer
684,684,setup
685,685,prototyping
686,686,microsoft
687,687,wmi
688,688,xelement
689,689,innerxml
690,690,replication
691,691,visual-studio-2005
692,692,line-numbers
693,693,audit
694,694,session
695,695,union
696,696,wix
697,697,vdproj
698,698,firefox
699,699,dom
700,700,votes
701,701,
702,702,nullpointerexception
703,703,illegalargumentexception
704,704,tsql
705,705,profiling
706,706,profiler
707,707,lamp
708,708,serial-port
709,709,paradigms
710,710,testdriven.net
711,711,asynchronous
712,712,windows-vista
713,713,smb
714,714,michael-stum
715,715,homework
716,716,multilingual
717,717,java-ee
718,718,websphere
719,719,ear
720,720,merge
721,721,legal
722,722,policy
723,723,static-analysis
724,724,code-snippets
725,725,evaluation
726,726,benchmarking
727,727,file-io
728,728,properties
729,729,offensive
730,730,user
731,731,content-management-system
732,732,streaming
733,733,webcam
734,734,directed-graph
735,735,harddrive
736,736,ssd
737,737,textbox
738,738,cursor
739,739,process-management
740,740,tfs
741,741,voronoi
742,742,messaging
743,743,activemq
744,744,knowledge
745,745,popularity
746,746,formula
747,747,rating
748,748,autoboxing
749,749,mobile
750,750,sms
751,751,mocking
752,752,business-logic-layer
753,753,objectdatasource
754,754,wcf
755,755,soa
756,756,qt
757,757,mfc
758,758,generator
759,759,xul
760,760,xulrunner
761,761,dynamic-sql
762,762,proxy
763,763,rubygems
764,764,ironruby
765,765,wsdl
766,766,windows-xp
767,767,rhino-mocks
768,768,t4
769,769,dsl
770,770,vsx
771,771,enhancements
772,772,fun
773,773,webcomic
774,774,xkcd
775,775,seo
776,776,pinvoke
777,777,intellisense
778,778,xming
779,779,header
780,780,etag
781,781,text-files
782,782,olap
783,783,filehelpers
784,784,delicious-api
785,785,networking
786,786,modem
787,787,qos
788,788,adsl
789,789,welcome
790,790,dct
791,791,mercurial
792,792,c#-2.0
793,793,jni
794,794,java-web-start
795,795,nativelibrary
796,796,moniker
797,797,readinglist
798,798,namespaces
799,799,singleton
800,800,configuration-management
801,801,webforms
802,802,ssp
803,803,microcontroller
804,804,programming-languages
805,805,jquery
806,806,cluster-computing
807,807,reverse-dns
808,808,intervention
809,809,zend-studio
810,810,x86
811,811,recommendation
812,812,assembly
813,813,xml-signature
814,814,ansi
815,815,confirm
816,816,events
817,817,button
818,818,primitive
819,819,cfml
820,820,assemblies
821,821,virtual
822,822,monitor
823,823,schema
824,824,ddl
825,825,ibm
826,826,remoting
827,827,wireless
828,828,menu
829,829,dependency-injection
830,830,culture
831,831,cms
832,832,joomla
833,833,grails
834,834,groovy
835,835,software-tools
836,836,apache2
837,837,svn-hooks
838,838,matlab
839,839,programming-culture
840,840,firebird
841,841,interbase
842,842,postback
843,843,asmx
844,844,jobs
845,845,job-boards
846,846,google
847,847,layout
848,848,standards
849,849,servlets
850,850,javascript-objects
851,851,semantic-markup
852,852,virtual-directory
853,853,gwt
854,854,charts
855,855,reporting-services
856,856,logic
857,857,workflow
858,858,lifecycle
859,859,cmmi
860,860,msf
861,861,membership
862,862,social-networking
863,863,permalink
864,864,zip
865,865,e-commerce
866,866,comments
867,867,sgml
868,868,hungarian-notation
869,869,self-documenting-code
870,870,project-planning
871,871,teamwork
872,872,leader
873,873,community-server
874,874,git-reset
875,875,moss
876,876,wss
877,877,rational
878,878,purify
879,879,jsf
880,880,web2.0
881,881,microformats
882,882,clickfraud
883,883,hitcounter
884,884,popular
885,885,desktop
886,886,laptop
887,887,licensing
888,888,product-management
889,889,internet-explorer-6
890,890,html5
891,891,doctype
892,892,xcode
893,893,informix
894,894,spl
895,895,wiki
896,896,utf-8
897,897,asp.net-mvc-routing
898,898,request
899,899,home-server
900,900,cmd
901,901,pointers
902,902,firebug
903,903,graphing
904,904,exit
905,905,pagerank
906,906,spidering
907,907,nothing
908,908,inheritance
909,909,patch
910,910,wysiwyg
911,911,ms-access
912,912,rcp
913,913,jnlp
914,914,backwards-compatibility
915,915,dnsmasq
916,916,n-tier
917,917,linker
918,918,vc6
919,919,genealogy
920,920,resume
921,921,cv
922,922,urllib
923,923,client-scripting
924,924,folding
925,925,yahoo-api
926,926,yahoo-maps
927,927,uuid
928,928,log4net
929,929,helpfile
930,930,gltail
931,931,versions
932,932,archive
933,933,connection-string
934,934,process
935,935,scsf
936,936,software-factory
937,937,eclipse-3.4
938,938,ganymede
939,939,multiple-monitors
940,940,customization
941,941,hr
942,942,spying
943,943,uint
944,944,unsigned-integer
945,945,cls-compliant
946,946,haml
947,947,exercise
948,948,webkit
949,949,foreign-keys
950,950,msdnsubscriptions
951,951,sybase-ase
952,952,outlook
953,953,gmail
954,954,icalendar
955,955,recurrence
956,956,enumeration
957,957,google-app-engine
958,958,redistributable
959,959,radio-button
960,960,new-project
961,961,awk
962,962,aix
963,963,howto
964,964,filter
965,965,scheme
966,966,continuations
967,967,puzzle
968,968,covariance
969,969,cocoa
970,970,notifications
971,971,configuration-files
972,972,ini
973,973,plot
974,974,rule-engine
975,975,register-globals
976,976,loading
977,977,junit
978,978,testng
979,979,tutorials
980,980,aop
981,981,asp.net-2.0
982,982,java-7
983,983,openjdk
984,984,icedtea
985,985,stringbuilder
986,986,string.format
987,987,gzip
988,988,base64
989,989,debian
990,990,scalability
991,991,recreational-programming
992,992,defensive-programming
993,993,lua
994,994,add-on
995,995,world-of-warcraft
996,996,compact-framework
997,997,corecon
998,998,code-reuse
999,999,construction
1000,1000,lazy-initialization
1001,1001,jeff
1002,1002,shader
1003,1003,mp3
1004,1004,flv
1005,1005,mp4
1006,1006,so-tool
1007,1007,google-perftools
1008,1008,upvote
1009,1009,repair
1010,1010,non-technical
1011,1011,xna
1012,1012,skins
1013,1013,graph-layout
1014,1014,team
1015,1015,passion
1016,1016,academia
1017,1017,embedded
1018,1018,cross-browser
1019,1019,rounded-corners
1020,1020,certification
1021,1021,mcts
1022,1022,mcpd
1023,1023,usersgroup
1024,1024,ignoreme
1025,1025,filenames
1026,1026,release
1027,1027,animation
1028,1028,nintendo-ds
1029,1029,extension-methods
1030,1030,resin
1031,1031,caucho
1032,1032,scrollbar
1033,1033,mental-health
1034,1034,pop3
1035,1035,bouncedemail
1036,1036,enums
1037,1037,flags
1038,1038,geometry
1039,1039,applet
1040,1040,whitespace
1041,1041,line-breaks
1042,1042,turing-machines
1043,1043,turing-complete
1044,1044,refactoring
1045,1045,profit
1046,1046,buffer-overflow
1047,1047,answer
1048,1048,clarification
1049,1049,creative-commons
1050,1050,favorites
1051,1051,source-code
1052,1052,components
1053,1053,autoconf
1054,1054,automake
1055,1055,selenium
1056,1056,prototypejs
1057,1057,stress-testing
1058,1058,webapplicationstresstool
1059,1059,pylot
1060,1060,linq-to-objects
1061,1061,stack
1062,1062,heap
1063,1063,bigdecimal
1064,1064,mathcontext
1065,1065,codinghorror
1066,1066,authorization
1067,1067,rest-security
1068,1068,abap
1069,1069,uservoice
1070,1070,rebuild
1071,1071,maintenance-plan
1072,1072,reorganize
1073,1073,xaml
1074,1074,ws-security
1075,1075,bit-manipulation
1076,1076,bit-shift
1077,1077,unique
1078,1078,duplicates
1079,1079,wgs84
1080,1080,naming-conventions
1081,1081,redirect
1082,1082,symlink
1083,1083,serialization
1084,1084,encoding
1085,1085,linked-list
1086,1086,mergesort
1087,1087,contracting
1088,1088,msdtc
1089,1089,internet-explorer-8
1090,1090,overflow
1091,1091,dataview
1092,1092,swt
1093,1093,executable
1094,1094,software-distribution
1095,1095,binding
1096,1096,myeclipse
1097,1097,activerecord
1098,1098,inequality
1099,1099,post-commit
1100,1100,post-commit-hook
1101,1101,sysobjects
1102,1102,html-select
1103,1103,w3c
1104,1104,qstring
1105,1105,version
1106,1106,control
1107,1107,versioncontrol
1108,1108,rsync
1109,1109,itunes
1110,1110,business
1111,1111,interface
1112,1112,fallback
1113,1113,binary-log
1114,1114,visualsvn-server
1115,1115,crc32
1116,1116,extensibility
1117,1117,html-helper
1118,1118,pylons
1119,1119,cooperation
1120,1120,insert
1121,1121,instrumentation
1122,1122,enterprise
1123,1123,connection-pooling
1124,1124,entourage
1125,1125,filesize
1126,1126,visual-studio-2003
1127,1127,first-chance-exception
1128,1128,unit-of-work
1129,1129,grammar
1130,1130,character
1131,1131,repository
1132,1132,redundancy
1133,1133,jboss
1134,1134,reportingservices-2005
1135,1135,f#
1136,1136,currying
1137,1137,ram-scraping
1138,1138,command
1139,1139,procmail
1140,1140,practice
1141,1141,alert
1142,1142,locking
1143,1143,spring
1144,1144,java-me
1145,1145,seeding
1146,1146,sdk
1147,1147,render
